State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Kerala,Wayanad,"Sultan bathery APMC","Black pepper",Ungrabled,Local,21/04/2026,68500,68500,68500
Odisha,Jajpur,"Jajpur APMC",Brinjal,Brinjal,Medium,21/04/2026,4000,5000,4500
Odisha,Jajpur,"Jajpur APMC",Cabbage,Cabbage,Medium,21/04/2026,1500,2000,1800
Punjab,Fazilka,"Fazilka APMC",Cucumbar(Kheera),Cucumbar,FAQ,21/04/2026,2500,2500,2500
Punjab,Fazilka,"Fazilka APMC","Bhindi(Ladies Finger)",Bhindi,FAQ,21/04/2026,6000,6000,6000
Punjab,Fazilka,"Fazilka APMC",Onion,Onion,FAQ,21/04/2026,2000,2000,2000
Punjab,Fazilka,"Fazilka APMC",Potato,Potato,FAQ,21/04/2026,700,700,700
Punjab,Fazilka,"Fazilka APMC",Cauliflower,Cauliflower,FAQ,21/04/2026,2000,2000,2000
Odisha,Rayagada,"Gunpur APMC",Cashewnuts,Local(Raw),FAQ,21/04/2026,13000,14000,13500
Odisha,Rayagada,"Gunpur APMC",Brinjal,Brinjal,FAQ,21/04/2026,2800,4100,3600
Odisha,Rayagada,"Gunpur APMC",Mahua,Other,FAQ,21/04/2026,2000,3500,2500
Odisha,Koraput,"Jeypore APMC",Brinjal,Other,"Grade B",21/04/2026,2000,2000,2000
Odisha,Rayagada,"Rayagada APMC",Brinjal,Brinjal,Medium,21/04/2026,1900,2000,2000
Punjab,Gurdaspur,"Batala APMC",Capsicum,Other,"Grade C",21/04/2026,2000,2500,2200
Punjab,Kapurthala,"Sultanpur APMC","Bitter gourd",Other,Local,21/04/2026,2000,2000,2000
Punjab,Kapurthala,"Sultanpur APMC","Bhindi(Ladies Finger)",Other,Local,21/04/2026,5000,5000,5000
Punjab,Ludhiana,"Khanna APMC",Grapes,Green,"Grade A",21/04/2026,6000,6000,6000
Punjab,Ludhiana,"Khanna APMC",Lemon,Other,"Grade A",21/04/2026,6000,6000,6000
Punjab,Ludhiana,"Khanna APMC",Onion,Onion,"Grade A",21/04/2026,1200,1200,1200
Punjab,Ludhiana,"Khanna APMC",Apple,Apple,"Grade A",21/04/2026,8000,8000,8000
Punjab,Ludhiana,"Khanna APMC",Chikoos(Sapota),Other,"Grade A",21/04/2026,3000,3000,3000
Punjab,Ludhiana,"Jagraon APMC",Apple,Apple,"Grade A",21/04/2026,8000,8000,8000
Punjab,Ludhiana,"Jagraon APMC","Karbuja(Musk Melon)",Other,"Grade A",21/04/2026,2500,2500,2500
Punjab,Ludhiana,"Jagraon APMC",Mango,Safeda,"Grade A",21/04/2026,9000,9000,9000
Punjab,Ludhiana,"Jagraon APMC",Pineapple,"Pine Apple","Grade A",21/04/2026,4200,4200,4200
Punjab,Ludhiana,"Jagraon APMC",Pomegranate,Other,"Grade A",21/04/2026,7000,7000,7000
Punjab,Ludhiana,"Jagraon APMC",Cauliflower,Other,FAQ,21/04/2026,1500,1500,1500
Punjab,Ludhiana,"Jagraon APMC",Cucumbar(Kheera),Other,FAQ,21/04/2026,450,450,450
Punjab,Ludhiana,"Jagraon APMC",Pumpkin,Other,FAQ,21/04/2026,700,700,700
Punjab,Ludhiana,"Jagraon APMC",Tomato,Other,FAQ,21/04/2026,1800,1800,1800
Punjab,Muktsar,"Muktsar APMC",Carrot,Carrot,Medium,21/04/2026,500,1700,1100
"Andhra Pradesh",Kurnool,"Kurnool APMC","Bengal Gram(Gram)(Whole)","Desi (Whole)",Non-FAQ,21/04/2026,3619,5329,5309
"Andhra Pradesh",Kurnool,"Kurnool APMC","Black Gram(Urd Beans)(Whole)","Black Gram (Whole)",Non-FAQ,21/04/2026,5000,7709,7597
"Andhra Pradesh",Kurnool,"Kurnool APMC","Foxtail Millet(Navane)",Other,FAQ,21/04/2026,2019,2709,2709
"Andhra Pradesh",Kurnool,"Kurnool APMC",Maize,Local,Non-FAQ,21/04/2026,1389,1752,1732
Punjab,Patiala,"Patiala APMC",Guava,Guava,"Grade A",21/04/2026,3000,4000,3800
Punjab,Patiala,"Patiala APMC",Grapes,Other,"Grade B",21/04/2026,5500,9000,6000
Punjab,Patiala,"Patiala APMC",Mango,Other,"Grade B",21/04/2026,7500,9400,8000
Punjab,Patiala,"Patiala APMC",Ber(Zizyphus/Borehannu),Ber(Zizyphus),"Grade B",21/04/2026,2700,3200,3000
Punjab,Patiala,"Patiala APMC","Karbuja(Musk Melon)",Karbhuja,"Grade B",21/04/2026,2000,2700,2500
Punjab,Patiala,"Patiala APMC","Onion Green","Onion Green","Grade A",21/04/2026,800,1000,900
Punjab,Patiala,"Patran APMC","Green Chilli",Other,"Grade A",21/04/2026,2220,2220,2220
Punjab,Patiala,"Patran APMC","Water Melon",Other,"Grade A",21/04/2026,1250,1250,1250
Punjab,Patiala,"Patran APMC",Chikoos(Sapota),Sapota,"Grade A",21/04/2026,2350,2350,2350
Punjab,Patiala,"Patran APMC","Mousambi(Sweet Lime)",Mousambi,"Grade A",21/04/2026,2592,2592,2592
Punjab,Patiala,"Patran APMC",Brinjal,Other,"Grade A",21/04/2026,1260,1260,1260
Punjab,Patiala,"Patran APMC",Cauliflower,Other,"Grade A",21/04/2026,1780,1780,1780
Punjab,Patiala,"Samana APMC",Ber(Zizyphus/Borehannu),Other,"Grade A",21/04/2026,2900,3200,3000
"Andhra Pradesh",Kurnool,"Adoni APMC","Arhar(Tur/Red Gram)(Whole)",Other,FAQ,21/04/2026,6816,7286,7286
Punjab,Sangrur,"Dhuri APMC",Tomato,Tomato,Medium,21/04/2026,3000,3200,3100
Punjab,Sangrur,"Dhuri APMC",Papaya,Papaya,Medium,21/04/2026,2400,2700,2500
Rajasthan,Kota,"Kota APMC","Bengal Gram(Gram)(Whole)",Other,Local,21/04/2026,5000,5000,5000
Rajasthan,Kota,"Kota APMC",Maize,Local,Local,21/04/2026,1650,1650,1650
Rajasthan,Kota,"Kota APMC",Soyabean,Local,Local,21/04/2026,5400,5400,5400
Rajasthan,Jaipur,"Jaipur (F&V) APMC",Banana,Other,Medium,21/04/2026,1000,2000,1500
Rajasthan,Jaipur,"Jaipur (F&V) APMC","Mousambi(Sweet Lime)",Other,Medium,21/04/2026,2500,4000,3250
Rajasthan,Jaipur,"Jaipur (F&V) APMC",Lemon,Lemon,FAQ,21/04/2026,15000,16000,15500
Rajasthan,Jaipur,"Jaipur (F&V) APMC",Pineapple,"Pine Apple",Medium,21/04/2026,4000,5500,4750
Rajasthan,Jaipur,"Jaipur (F&V) APMC",Orange,Other,Medium,21/04/2026,3000,10000,6500
Rajasthan,Jaipur,"Jaipur (F&V) APMC","Tender Coconut","Tender Coconut",Medium,21/04/2026,4000,6000,5000
Rajasthan,Jaipur,"Jaipur (F&V) APMC",Mango(Raw-Ripe),Other,FAQ,21/04/2026,2800,3000,2900
Rajasthan,Jaipur,"Jaipur (F&V) APMC","Jack Fruit(Ripe)",Other,Medium,21/04/2026,2000,2500,2250
Rajasthan,Jaipur,"Jaipur (F&V) APMC",Capsicum,Capsicum,FAQ,21/04/2026,1000,1200,1100
Rajasthan,Jaipur,"Jaipur (Grain) APMC",Jowar(Sorghum),Local,"Grade Range-2",21/04/2026,2800,2800,2800
Rajasthan,Churu,"Sadulpur APMC","Bengal Gram(Gram)(Whole)",Other,Local,21/04/2026,4500,5000,4700
Gujarat,Patan,"Sami APMC","Bengal Gram(Gram)(Whole)","Average (Whole)",Local,21/04/2026,5100,5255,5180
Gujarat,Patan,"Sami APMC","Suva(Dill Seed)",Other,Local,21/04/2026,8000,9250,8750
Gujarat,Patan,"Sami APMC","Arhar(Tur/Red Gram)(Whole)","777 New Ind",Local,21/04/2026,6000,6750,6500
"Uttar Pradesh",Lalitpur,"Lalitpur APMC",Wheat,Deshi,FAQ,21/04/2026,2350,2350,2350
"Uttar Pradesh",Lalitpur,"Lalitpur APMC",Grapes,Other,Medium,21/04/2026,7020,7080,7050
"Uttar Pradesh",Lucknow,"Lucknow APMC",Ginger(Green),Other,FAQ,21/04/2026,3500,3500,3500
"Uttar Pradesh",Sambhal,"Muradabad APMC",Potato,Other,FAQ,21/04/2026,400,400,400
"Uttar Pradesh",Pillibhit,"Pilibhit APMC",Firewood,Firewood,FAQ,21/04/2026,550,550,550
"Uttar Pradesh",Pillibhit,"Pilibhit APMC",Garlic,Other,FAQ,21/04/2026,3500,3500,3500
"Uttar Pradesh",Sitapur,"Sitapur APMC",Lentil(Masur)(Whole),"Masoor Gola",Local,21/04/2026,6400,6600,6500
"Uttar Pradesh",Sitapur,"Sitapur APMC",Mustard,Sarson(Black),Local,21/04/2026,6000,7000,6500
"West Bengal","North 24 Parganas","Barasat APMC","Bitter gourd",Other,FAQ,21/04/2026,4000,4000,4000
"West Bengal","North 24 Parganas","Barasat APMC",Pumpkin,Other,FAQ,21/04/2026,1500,1500,1500
"West Bengal","Purba Bardhaman","Kalna APMC",Brinjal,Brinjal,FAQ,21/04/2026,3000,3200,3100
"West Bengal","Purba Bardhaman","Kalna APMC",Jute,TD-5,"TD 3 (FAQ)",21/04/2026,10400,10600,10500
"West Bengal","Purba Bardhaman","Kalna APMC",Potato,Jyoti,"Grade A",21/04/2026,660,700,680
